"Value","CDL_name","landuse_group","groupcode"
36,"Alfalfa","prn_agr",5
58,"Clover/Wildflowers","prn_agr",5
224,"Vetch","ann_agr",1
68,"Apples","prn_agr",5
77,"Pears","prn_agr",5
223,"Apricots","prn_agr",5
66,"Cherries","prn_agr",5
142,"Evergreen Forest","ntr",4
143,"Mixed Forest","ntr",4
1,"Corn","ann_agr",1
4,"Sorghum","ann_agr",1
12,"Sweet Corn","ann_agr",1
13,"Pop or Orn Corn","ann_agr",1
82,"Developed","dvl",2
122,"Developed/Low Intensity","dvl",2
123,"Developed/Med Intensity","dvl",2
124,"Developed/High Intensity","dvl",2
37,"Other Hay/Non Alfalfa","prn_agr",5
59,"Sod/Grass Seed","prn_agr",5
60,"Switchgrass","prn_agr",5
6,"Sunflower","ann_agr",1
39,"Buckwheat","ann_agr",1
42,"Dry Beans","ann_agr",1
47,"Misc Vegs & Fruits","ann_agr",1
48,"Watermelons","ann_agr",1
50,"Cucumbers","ann_agr",1
51,"Chick Peas","ann_agr",1
52,"Lentils","ann_agr",1
53,"Peas","ann_agr",1
54,"Tomatoes","ann_agr",1
209,"Cantaloupes","ann_agr",1
213,"Honeydew Melons","ann_agr",1
216,"Peppers","ann_agr",1
222,"Squash","ann_agr",1
229,"Pumpkins","ann_agr",1
248,"Eggplants","ann_agr",1
249,"Gourds","ann_agr",1
250,"Cranberries","ann_agr",1
121,"Developed/Open Space","dvl",2
63,"Forest","ntr",4
141,"Deciduous Forest","ntr",4
0,"Background","non",3
65,"Barren","non",3
81,"Clouds/No Data","non",3
83,"Water","wtr",6
88,"Nonag/Undefined","non",3
92,"Aquaculture","wtr",6
111,"Open Water","wtr",6
112,"Perennial Ice/Snow","non",3
131,"Barren","non",3
2,"Cotton","ann_agr",1
3,"Rice","ann_agr",1
10,"Peanuts","ann_agr",1
11,"Tobacco","ann_agr",1
14,"Mint","ann_agr",1
21,"Barley","ann_agr",1
23,"Spring Wheat","ann_agr",1
28,"Oats","ann_agr",1
29,"Millet","ann_agr",1
31,"Canola","ann_agr",1
32,"Flaxseed","ann_agr",1
33,"Safflower","ann_agr",1
34,"Rape Seed","ann_agr",1
35,"Mustard","ann_agr",1
38,"Camelina","ann_agr",1
41,"Sugarbeets","ann_agr",1
43,"Potatoes","ann_agr",1
44,"Other Crops","ann_agr",1
45,"Sugarcane","ann_agr",1
46,"Sweet Potatoes","ann_agr",1
49,"Onions","ann_agr",1
57,"Herbs","ann_agr",1
206,"Carrots","ann_agr",1
207,"Asparagus","prn_agr",5
208,"Garlic","ann_agr",1
214,"Broccoli","ann_agr",1
219,"Greens","ann_agr",1
227,"Lettuce","ann_agr",1
230,"Dbl Crop Lettuce/Durum Wht","ann_agr",1
231,"Dbl Crop Lettuce/Cantaloupe","ann_agr",1
232,"Dbl Crop Lettuce/Cotton","ann_agr",1
233,"Dbl Crop Lettuce/Barley","ann_agr",1
239,"Dbl Crop Soybeans/Cotton","ann_agr",1
240,"Dbl Crop Soybeans/Oats","ann_agr",1
241,"Dbl Crop Corn/Soybeans","ann_agr",1
243,"Cabbage","ann_agr",1
244,"Cauliflower","ann_agr",1
245,"Celery","ann_agr",1
246,"Radishes","ann_agr",1
247,"Turnips","ann_agr",1
22,"Durum Wheat","ann_agr",1
24,"Winter Wheat","ann_agr",1
25,"Other Small Grains","ann_agr",1
26,"Dbl Crop WinWht/Soybeans","ann_agr",1
27,"Rye","ann_agr",1
30,"Speltz","ann_agr",1
205,"Triticale","ann_agr",1
225,"Dbl Crop WinWht/Corn","ann_agr",1
226,"Dbl Crop Oats/Corn","ann_agr",1
228,"Dbl Crop Triticale/Corn","ann_agr",1
234,"Dbl Crop Durum Wht/Sorghum","ann_agr",1
235,"Dbl Crop Barley/Sorghum","ann_agr",1
236,"Dbl Crop WinWht/Sorghum","ann_agr",1
237,"Dbl Crop Barley/Corn","ann_agr",1
238,"Dbl Crop WinWht/Cotton","ann_agr",1
254,"Dbl Crop Barley/Soybeans","ann_agr",1
61,"Fallow/Idle Cropland","prn_agr",5
176,"Grass/Pasture","prn_agr",5
67,"Peaches","prn_agr",5
55,"Caneberries","prn_agr",5
56,"Hops","prn_agr",5
69,"Grapes","prn_agr",5
70,"Christmas Trees","prn_agr",5
71,"Other Tree Crops","prn_agr",5
72,"Citrus","prn_agr",5
74,"Pecans","prn_agr",5
75,"Almonds","prn_agr",5
76,"Walnuts","prn_agr",5
204,"Pistachios","prn_agr",5
210,"Prunes","prn_agr",5
211,"Olives","prn_agr",5
212,"Oranges","prn_agr",5
215,"Avocados","prn_agr",5
217,"Pomegranates","prn_agr",5
218,"Nectarines","prn_agr",5
242,"Blueberries","prn_agr",5
220,"Plums","prn_agr",5
64,"Shrubland","ntr",4
152,"Shrubland","ntr",4
5,"Soybeans","ann_agr",1
221,"Strawberries","ann_agr",1
190,"Woody Wetlands","ntr",4
87,"Wetlands","ntr",4
195,"Herbaceous Wetlands","ntr",4
