"lsm","landvar","metric","type"
"lu_pr","lu","pr","diversity metric"
"lu_prd","lu","prd","diversity metric"
"lu_shdi","lu","shdi","diversity metric"
"lu_ta","lu","ta","area and edge metric"
"aglu_contag","aglu","contag","aggregation metric"
"aglu_ed","aglu","ed","area and edge metric"
"aglu_frac_cv","aglu","frac_cv","shape metric"
"aglu_frac_mn","aglu","frac_mn","shape metric"
"aglu_iji","aglu","iji","aggregation metric"
"aglu_lsi","aglu","lsi","aggregation metric"
"aglu_para_cv","aglu","para_cv","shape metric"
"aglu_para_mn","aglu","para_mn","shape metric"
"aglu_split","aglu","split","aggregation metric"
"ann_agr_area_cv","ann_agr","area_cv","area and edge metric"
"ntr_area_cv","ntr","area_cv","area and edge metric"
"prn_agr_area_cv","prn_agr","area_cv","area and edge metric"
"ann_agr_area_mn","ann_agr","area_mn","area and edge metric"
"ntr_area_mn","ntr","area_mn","area and edge metric"
"prn_agr_area_mn","prn_agr","area_mn","area and edge metric"
"ann_agr_cohesion","ann_agr","cohesion","aggregation metric"
"ntr_cohesion","ntr","cohesion","aggregation metric"
"prn_agr_cohesion","prn_agr","cohesion","aggregation metric"
"ann_agr_ed","ann_agr","ed","area and edge metric"
"ntr_ed","ntr","ed","area and edge metric"
"prn_agr_ed","prn_agr","ed","area and edge metric"
"ann_agr_frac_cv","ann_agr","frac_cv","shape metric"
"ntr_frac_cv","ntr","frac_cv","shape metric"
"prn_agr_frac_cv","prn_agr","frac_cv","shape metric"
"ann_agr_frac_mn","ann_agr","frac_mn","shape metric"
"ntr_frac_mn","ntr","frac_mn","shape metric"
"prn_agr_frac_mn","prn_agr","frac_mn","shape metric"
"ann_agr_lsi","ann_agr","lsi","aggregation metric"
"ntr_lsi","ntr","lsi","aggregation metric"
"prn_agr_lsi","prn_agr","lsi","aggregation metric"
"ann_agr_para_cv","ann_agr","para_cv","shape metric"
"ntr_para_cv","ntr","para_cv","shape metric"
"prn_agr_para_cv","prn_agr","para_cv","shape metric"
"ann_agr_para_mn","ann_agr","para_mn","shape metric"
"ntr_para_mn","ntr","para_mn","shape metric"
"prn_agr_para_mn","prn_agr","para_mn","shape metric"
"ann_agr_pd","ann_agr","pd","aggregation metric"
"ntr_pd","ntr","pd","aggregation metric"
"prn_agr_pd","prn_agr","pd","aggregation metric"
"ann_agr_pland","ann_agr","pland","area and edge metric"
"ntr_pland","ntr","pland","area and edge metric"
"prn_agr_pland","prn_agr","pland","area and edge metric"
"ann_agr_split","ann_agr","split","aggregation metric"
"ntr_split","ntr","split","aggregation metric"
"prn_agr_split","prn_agr","split","aggregation metric"
"field_area_cv","field","area_cv","area and edge metric"
"field_area_mn","field","area_mn","area and edge metric"
"field_ed","field","ed","area and edge metric"
"field_para_cv","field","para_cv","shape metric"
"field_para_mn","field","para_mn","shape metric"
"field_pd","field","pd","aggregation metric"
"crop_pr","crop","pr","diversity metric"
"crop_prd","crop","prd","diversity metric"
"crop_shdi","crop","shdi","diversity metric"
