"ES","change_type","R2","mae","kp","edf","kindex","pvalue"
"pollinators","delta",0.5,0.048,9,6.96,1.029,0.73
"pollinators","delta.margin",0.65,0.102,9,7.894,1.097,0.95
"pollinators","pcmargin",0.8,3.975,9,6.479,0.985,0.335
"qb","delta",0.6,0.151,9,3.106,0.879,0
"qb","delta.margin",0.62,0.811,9,2.92,1.011,0.495
"qb","pcmargin",0.18,4.737,9,5.186,0.897,0.02
"n_export","delta",0.91,0.042,9,1,0.949,0.155
"n_export","delta.margin",0.88,0.291,9,2.941,0.954,0.14
"n_export","pcmargin",0.41,4.66,9,4.333,0.957,0.165
"sed_export","delta",0.94,0.032,9,8.754,1.129,0.995
"sed_export","delta.margin",0.86,0.311,9,8.268,1.092,0.99
"sed_export","pcmargin",0.23,5.528,9,7.335,1.071,0.935
