"ES","response_type","R2","mae","kp","edf","kindex","pvalue"
"pollinators","base",0.96,0.105,9,2.926,0.968,0.255
"qb","base",0.11,2.653,9,4.672,1.021,0.685
"n_export","base",0.83,0.158,9,5.816,0.982,0.345
"sed_export","base",0.12,0.316,9,5.901,1.031,0.715
"pollinators","delta",0.51,0.048,9,6.738,1.062,0.86
"qb","delta",0.14,0.215,9,5.816,0.94,0.09
"n_export","delta",0.63,0.085,9,5.605,0.986,0.365
"sed_export","delta",0.14,0.148,9,5.801,1.014,0.535
"pollinators","delta.margin",0.63,0.113,9,3.725,0.936,0.075
"qb","delta.margin",0.02,1.32,9,4.89,0.971,0.24
"n_export","delta.margin",0.65,0.518,9,6.209,0.977,0.37
"sed_export","delta.margin",0.11,0.875,9,5.321,1.019,0.665
"pollinators","pcmargin",0.72,4.516,9,1.985,1.014,0.545
"n_export","pcmargin",0.29,5.134,9,6.081,1.061,0.925
"qb","pcmargin",0.26,4.473,9,7.09,0.923,0.025
"sed_export","pcmargin",0.45,4.591,9,7.43,1.057,0.875
