"ES","response_type","R2","mae","mse","kp","edf","kindex","pvalue"
"pollinators","base",0.96,0.105,0.02,9,2.926,0.968,0.27
"qb","base",0.11,2.653,11.317,9,4.672,1.021,0.595
"n_export","base",0.83,0.158,0.041,9,5.816,0.982,0.36
"sed_export","base",0.12,0.316,0.194,9,5.901,1.031,0.74
"pollinators","delta",0.51,0.048,0.004,9,6.738,1.062,0.885
"qb","delta",0.14,0.215,0.085,9,5.816,0.94,0.115
"n_export","delta",0.63,0.085,0.013,9,5.605,0.986,0.335
"sed_export","delta",0.14,0.148,0.046,9,5.801,1.014,0.61
"pollinators","delta.margin",0.63,0.113,0.021,9,3.725,0.936,0.095
"qb","delta.margin",0.02,1.32,2.817,9,4.89,0.971,0.22
"n_export","delta.margin",0.65,0.518,0.443,9,6.209,0.977,0.33
"sed_export","delta.margin",0.11,0.875,1.385,9,5.321,1.019,0.65
"pollinators","pcmargin",0.72,4.516,40.828,9,1.985,1.014,0.615
"n_export","pcmargin",0.29,5.134,41.76,9,6.081,1.061,0.89
"qb","pcmargin",0.26,4.473,51.386,9,7.09,0.923,0.04
"sed_export","pcmargin",0.45,4.591,33.109,9,7.43,1.057,0.88
